,Unnamed: 0,Accident Ref.,Borough,Easting,Northing,Vehicle Type,Unnamed: 0,Y,X
59,215,0111CP00144,CITY OF LONDON,533380,181910,01 Pedal Cycle,59,-0.07893586,51.52036956
60,222,0111CP00152,CITY OF LONDON,533200,181420,01 Pedal Cycle,60,-0.08171386,51.51600865
61,227,0111CP00154,CITY OF LONDON,532720,181110,01 Pedal Cycle,61,-0.08874417,51.51333576
62,228,0111CP00155,CITY OF LONDON,532710,181560,01 Pedal Cycle,62,-0.08871884,51.51738207
63,234,0111CP00158,CITY OF LONDON,531650,180770,01 Pedal Cycle,63,-0.10428191,51.51053041
64,238,0111CP00161,CITY OF LONDON,532790,181050,01 Pedal Cycle,64,-0.08775858,51.51278012
65,244,0111CP00165,CITY OF LONDON,532160,181590,01 Pedal Cycle,65,-0.09662976,51.51778058
66,246,0111CP00166,CITY OF LONDON,531730,180810,01 Pedal Cycle,66,-0.10311483,51.51087126
67,249,0111CP00169,CITY OF LONDON,533600,181170,01 Pedal Cycle,67,-0.07604722,51.51366758
68,252,0111CP00170,CITY OF LONDON,531810,181400,01 Pedal Cycle,68,-0.1017422,51.51615479
69,254,0111CP00172,CITY OF LONDON,533190,181440,01 Pedal Cycle,69,-0.08185033,51.51619074
70,257,0111CP00173,CITY OF LONDON,533180,181420,01 Pedal Cycle,70,-0.08200193,51.51601337
71,261,0111CP00175,CITY OF LONDON,533220,180940,01 Pedal Cycle,71,-0.08160712,51.51169041
72,262,0111CP00176,CITY OF LONDON,531420,181560,01 Pedal Cycle,72,-0.10729995,51.51768344
73,267,0111CP00181,CITY OF LONDON,532553,181141,01 Pedal Cycle,73,-0.09113776,51.51365352
74,271,0111CP00184,CITY OF LONDON,532360,181560,01 Pedal Cycle,74,-0.09376022,51.51746417
75,273,0111CP00185,CITY OF LONDON,531660,180920,01 Pedal Cycle,75,-0.1040819,51.5118761
76,275,0111CP00186,CITY OF LONDON,533430,181260,01 Pedal Cycle,76,-0.07846162,51.51451654
77,282,0111CP00195,CITY OF LONDON,531590,181420,01 Pedal Cycle,77,-0.10490351,51.51638576
78,284,0111CP00197,CITY OF LONDON,531990,181340,01 Pedal Cycle,78,-0.09917202,51.51557361
79,291,0111CP00201,CITY OF LONDON,533260,180640,01 Pedal Cycle,79,-0.08114438,51.50898503
80,295,0111CP00204,CITY OF LONDON,533010,181030,01 Pedal Cycle,80,-0.0845976,51.51254867
81,300,0111CP00206,CITY OF LONDON,531570,181570,01 Pedal Cycle,81,-0.10513561,51.51773842
82,301,0111CP00207,CITY OF LONDON,532370,181180,01 Pedal Cycle,82,-0.0937588,51.51404689
83,303,0111CP00208,CITY OF LONDON,532134,181258,01 Pedal Cycle,83,-0.09712866,51.51480307
84,305,0111CP00209,CITY OF LONDON,532060,181080,01 Pedal Cycle,84,-0.09826114,51.51322072
85,307,0111CP00212,CITY OF LONDON,533550,181240,01 Pedal Cycle,85,-0.07674084,51.51430846
86,309,0111CP00213,CITY OF LONDON,532630,181100,01 Pedal Cycle,86,-0.09004416,51.51326701
87,311,0111CP00214,CITY OF LONDON,533110,181290,01 Pedal Cycle,87,-0.08305923,51.51486162
88,314,0111CP00217,CITY OF LONDON,533050,181220,01 Pedal Cycle,88,-0.08394982,51.5142467
89,321,0111CP00221,CITY OF LONDON,531400,181570,01 Pedal Cycle,89,-0.10758431,51.51777795
90,326,0111CP00224,CITY OF LONDON,533130,181330,01 Pedal Cycle,90,-0.08275607,51.51521637
91,328,0111CP00225,CITY OF LONDON,533360,181800,01 Pedal Cycle,91,-0.07926557,51.51938577
92,330,0111CP00226,CITY OF LONDON,532840,181520,01 Pedal Cycle,92,-0.08686142,51.51699206
93,332,0111CP00227,CITY OF LONDON,531670,180930,01 Pedal Cycle,93,-0.10393416,51.51196364
94,337,0111CP00230,CITY OF LONDON,531358,181437,01 Pedal Cycle,94,-0.10823883,51.51659247
95,342,0111CP00232,CITY OF LONDON,532680,181450,01 Pedal Cycle,95,-0.08919236,51.51640059
96,349,0111CP00238,CITY OF LONDON,531530,180820,01 Pedal Cycle,96,-0.10599148,51.51100767
97,350,0111CP00239,CITY OF LONDON,533200,181130,01 Pedal Cycle,97,-0.0818234,51.51340257
98,352,0111CP00240,CITY OF LONDON,532980,180970,01 Pedal Cycle,98,-0.08505229,51.51201653
99,355,0111CP00241,CITY OF LONDON,531620,181170,01 Pedal Cycle,99,-0.1045647,51.51413209
100,359,0111CP00243,CITY OF LONDON,533020,180820,01 Pedal Cycle,100,-0.08453278,51.51065914
101,360,0111CP00243,CITY OF LONDON,533020,180820,01 Pedal Cycle,101,-0.08453278,51.51065914
102,363,0111CP00245,CITY OF LONDON,532170,181570,01 Pedal Cycle,102,-0.09649322,51.51759851
103,373,0111CP00249,CITY OF LONDON,531645,180814,01 Pedal Cycle,103,-0.1043375,51.51092699
104,375,0111CP00250,CITY OF LONDON,533250,180640,01 Pedal Cycle,104,-0.08128839,51.50898738
105,376,0111CP00251,CITY OF LONDON,533080,181510,01 Pedal Cycle,105,-0.08340829,51.51684572
106,380,0111CP00255,CITY OF LONDON,532700,181540,01 Pedal Cycle,106,-0.08887041,51.51720469
107,384,0111CP00257,CITY OF LONDON,533210,180940,01 Pedal Cycle,107,-0.08175114,51.51169277
108,391,0111CP00262,CITY OF LONDON,531660,181470,01 Pedal Cycle,108,-0.10387659,51.51681881
109,392,0111CP00263,CITY OF LONDON,533190,181420,01 Pedal Cycle,109,-0.08185789,51.51601102
110,395,0111CP00264,CITY OF LONDON,532850,180840,01 Pedal Cycle,110,-0.08697354,51.51087884
111,402,0111CP00270,CITY OF LONDON,533300,181630,01 Pedal Cycle,111,-0.08019411,51.51787223
112,403,0111CP00271,CITY OF LONDON,532670,180890,01 Pedal Cycle,112,-0.08954705,51.51137044
113,406,0111CP00273,CITY OF LONDON,533320,181650,01 Pedal Cycle,113,-0.07989847,51.51804724
114,410,0111CP00276,CITY OF LONDON,532770,181750,01 Pedal Cycle,114,-0.08778306,51.51907542
115,412,0111CP00277,CITY OF LONDON,532120,181060,01 Pedal Cycle,115,-0.09740447,51.51302698
116,427,0111CP00289,CITY OF LONDON,531380,181170,01 Pedal Cycle,116,-0.10802141,51.51418789
117,431,0111CP00291,CITY OF LONDON,532760,180720,01 Pedal Cycle,117,-0.08831487,51.50982159
118,436,0111CP00293,CITY OF LONDON,532530,181290,01 Pedal Cycle,118,-0.09141301,51.51499792
119,438,0111CP00295,CITY OF LONDON,531960,181340,01 Pedal Cycle,119,-0.09960411,51.51558062
120,440,0111CP00296,CITY OF LONDON,532120,181380,01 Pedal Cycle,120,-0.0972846,51.51590273
121,442,0111CP00298,CITY OF LONDON,533080,181450,01 Pedal Cycle,121,-0.08343095,51.51630653
122,446,0111CP00300,CITY OF LONDON,532580,181070,01 Pedal Cycle,122,-0.09077557,51.51300915
123,450,0111CP00304,CITY OF LONDON,532410,180830,01 Pedal Cycle,123,-0.09331409,51.51089219
124,453,0111CP00306,CITY OF LONDON,531390,181550,01 Pedal Cycle,124,-0.10773581,51.51760054
125,459,0111CP00310,CITY OF LONDON,532570,180920,01 Pedal Cycle,125,-0.09097598,51.51166349
126,463,0111CP00312,CITY OF LONDON,532400,180830,01 Pedal Cycle,126,-0.09345811,51.51089453
127,465,0111CP00313,CITY OF LONDON,531630,181170,01 Pedal Cycle,127,-0.10442067,51.51412977
128,466,0111CP00314,CITY OF LONDON,532980,181300,01 Pedal Cycle,128,-0.08492786,51.51498209
129,467,0111CP00315,CITY OF LONDON,532770,180990,01 Pedal Cycle,129,-0.08806921,51.51224563
130,479,0111CP00322,CITY OF LONDON,532140,180930,01 Pedal Cycle,130,-0.09716512,51.51185403
131,480,0111CP00322,CITY OF LONDON,532140,180930,01 Pedal Cycle,131,-0.09716512,51.51185403
132,481,0111CP00323,CITY OF LONDON,531730,181440,01 Pedal Cycle,132,-0.10287953,51.5165329
133,483,0111CP00324,CITY OF LONDON,531410,181570,01 Pedal Cycle,133,-0.10744027,51.51777563
134,491,0111CP00329,CITY OF LONDON,532480,180800,01 Pedal Cycle,134,-0.09231722,51.51060619
135,497,0111CP00334,CITY OF LONDON,531900,181360,01 Pedal Cycle,135,-0.10046083,51.51577434
136,499,0111CP00335,CITY OF LONDON,532580,181280,01 Pedal Cycle,136,-0.09069662,51.51489633
137,502,0111CP00337,CITY OF LONDON,532790,180710,01 Pedal Cycle,137,-0.08788658,51.50972468
138,504,0111CP00338,CITY OF LONDON,533250,180650,01 Pedal Cycle,138,-0.08128462,51.50907725
139,506,0111CP00339,CITY OF LONDON,531830,180950,01 Pedal Cycle,139,-0.10162233,51.5121061
140,512,0111CP00342,CITY OF LONDON,532700,181110,01 Pedal Cycle,140,-0.08903223,51.51334045
141,513,0111CP00343,CITY OF LONDON,531300,181570,01 Pedal Cycle,141,-0.10902472,51.51780118
142,524,0111CP00352,CITY OF LONDON,533020,181360,01 Pedal Cycle,142,-0.0843291,51.51551187
143,529,0111CP00357,CITY OF LONDON,531420,181330,01 Pedal Cycle,143,-0.10738566,51.51561648
144,532,0111CP00359,CITY OF LONDON,531650,180940,01 Pedal Cycle,144,-0.10421847,51.51205815
145,535,0111CP00361,CITY OF LONDON,531780,181420,01 Pedal Cycle,145,-0.10216682,51.51634152
146,541,0111CP00365,CITY OF LONDON,532100,181860,01 Pedal Cycle,146,-0.09739284,51.52022102
147,543,0111CP00366,CITY OF LONDON,531930,181100,01 Pedal Cycle,147,-0.10012599,51.5134308
148,544,0111CP00367,CITY OF LONDON,531460,181440,01 Pedal Cycle,148,-0.10676852,51.51659573
149,551,0111CP00374,CITY OF LONDON,531630,181170,01 Pedal Cycle,149,-0.10442067,51.51412977
150,555,0111CP00376,CITY OF LONDON,531630,180790,01 Pedal Cycle,150,-0.10456249,51.5107148
151,556,0111CP00377,CITY OF LONDON,533130,180920,01 Pedal Cycle,151,-0.08291085,51.5115319
152,564,0111CP00381,CITY OF LONDON,533220,181140,01 Pedal Cycle,152,-0.08153157,51.51348772
153,578,0111HT20291,CITY OF LONDON,533860,180780,01 Pedal Cycle,153,-0.07245057,51.51010131
154,580,0111HT20405,CITY OF LONDON,533820,180770,01 Pedal Cycle,154,-0.07303041,51.51002092
155,590,0111TA00683,CITY OF LONDON,531800,181800,01 Pedal Cycle,155,-0.10173671,51.51975182
156,591,0111TB00323,CITY OF LONDON,532450,181950,01 Pedal Cycle,156,-0.09231735,51.52094787
157,601,0111BS70431,WESTMINSTER,525110,181060,01 Pedal Cycle,157,-0.19837093,51.51462115
158,621,0111CW10030,WESTMINSTER,529960,178290,01 Pedal Cycle,158,-0.12953432,51.48863383
159,631,0111CW10047,WESTMINSTER,529960,178280,01 Pedal Cycle,159,-0.129538,51.48854396
160,669,0111CW10098,WESTMINSTER,527440,183400,01 Pedal Cycle,160,-0.16396428,51.53513049
161,675,0111CW10108,WESTMINSTER,529430,180970,01 Pedal Cycle,161,-0.136181,51.51284015
162,688,0111CW10127,WESTMINSTER,530310,179900,01 Pedal Cycle,162,-0.12390185,51.50302216
163,748,0111CW10229,WESTMINSTER,529270,179200,01 Pedal Cycle,163,-0.13913393,51.49696991
164,764,0111CW10253,WESTMINSTER,528750,179790,01 Pedal Cycle,164,-0.14640559,51.50239077
165,782,0111CW10273,WESTMINSTER,525710,182160,01 Pedal Cycle,165,-0.18933639,51.52437395
166,812,0111CW10307,WESTMINSTER,527000,180770,01 Pedal Cycle,166,-0.17125237,51.51159363
167,813,0111CW10307,WESTMINSTER,527000,180770,01 Pedal Cycle,167,-0.17125237,51.51159363
168,814,0111CW10309,WESTMINSTER,528710,182020,01 Pedal Cycle,168,-0.14616775,51.52244073
169,820,0111CW10314,WESTMINSTER,525900,180630,01 Pedal Cycle,169,-0.18714542,51.51058137
170,826,0111CW10320,WESTMINSTER,529790,180452,01 Pedal Cycle,170,-0.1311866,51.50810245
171,837,0111CW10334,WESTMINSTER,528700,179330,01 Pedal Cycle,171,-0.14729332,51.49826815
172,859,0111CW10364,WESTMINSTER,529330,180910,01 Pedal Cycle,172,-0.13764328,51.5123238
173,862,0111CW10367,WESTMINSTER,529730,180530,01 Pedal Cycle,173,-0.13202199,51.50881719
