,Accident Ref.,Borough,Easting,Northing,Vehicle Type
41102,0111YR90251,HARINGEY,531880,189650,01 Pedal Cycle
41109,0111YR90255,HARINGEY,531690,189150,01 Pedal Cycle
41111,0111YR90256,HARINGEY,531120,189270,01 Pedal Cycle
41146,0111YR90280,HARINGEY,533370,189580,01 Pedal Cycle
41157,0111YR90288,HARINGEY,533660,188120,01 Pedal Cycle
41182,0111YR90305,HARINGEY,532160,190520,01 Pedal Cycle
41203,0111YR90322,HARINGEY,529230,190640,01 Pedal Cycle
41211,0111YR90327,HARINGEY,531200,187970,01 Pedal Cycle
41213,0111YR90328,HARINGEY,531680,189150,01 Pedal Cycle
41215,0111YR90329,HARINGEY,533650,188120,01 Pedal Cycle
41229,0111YR90336,HARINGEY,533620,188220,01 Pedal Cycle
41249,0111YR90348,HARINGEY,531730,188920,01 Pedal Cycle
41254,0111YR90351,HARINGEY,533660,188100,01 Pedal Cycle
41271,0111YR90363,HARINGEY,532940,188290,01 Pedal Cycle
41285,0111YR90371,HARINGEY,531710,189070,01 Pedal Cycle
41305,0111YR90386,HARINGEY,531620,190670,01 Pedal Cycle
41312,0111YR90390,HARINGEY,534780,189180,01 Pedal Cycle
41317,0111YR90395,HARINGEY,532940,188290,01 Pedal Cycle
41349,0111YR90417,HARINGEY,531890,187900,01 Pedal Cycle
41361,0111YR90426,HARINGEY,533400,188010,01 Pedal Cycle
41365,0111YR90428,HARINGEY,531010,190390,01 Pedal Cycle
41393,0111YR90450,HARINGEY,532090,190530,01 Pedal Cycle
41411,0111YR90461,HARINGEY,533890,190620,01 Pedal Cycle
41433,0111YR90475,HARINGEY,531380,189600,01 Pedal Cycle
41439,0111YR90479,HARINGEY,531880,187910,01 Pedal Cycle
41443,0111YR90481,HARINGEY,532940,188290,01 Pedal Cycle
41446,0111YR90484,HARINGEY,529750,191640,01 Pedal Cycle
41449,0111YR90485,HARINGEY,533810,189000,01 Pedal Cycle
41460,0111YR90494,HARINGEY,530650,189960,01 Pedal Cycle
41468,0111YR90498,HARINGEY,528580,189470,01 Pedal Cycle
41470,0111YR90499,HARINGEY,533940,189040,01 Pedal Cycle
41477,0111YR90504,HARINGEY,533900,190770,01 Pedal Cycle
41492,0111YR90513,HARINGEY,528290,189840,01 Pedal Cycle
41506,0111YR90524,HARINGEY,533800,190630,01 Pedal Cycle
41532,0111YR90537,HARINGEY,534360,191440,01 Pedal Cycle
41536,0111YR90539,HARINGEY,529760,191640,01 Pedal Cycle
41538,0111YR90540,HARINGEY,529900,188630,01 Pedal Cycle
41540,0111YR90542,HARINGEY,528460,188300,01 Pedal Cycle
41569,0111YR90565,HARINGEY,532090,189200,01 Pedal Cycle
41580,0111YR90576,HARINGEY,527860,188520,01 Pedal Cycle
41632,0111YR90608,HARINGEY,528800,187890,01 Pedal Cycle
41635,0111YR90610,HARINGEY,534850,189400,01 Pedal Cycle
41638,0111YR90611,HARINGEY,533660,189000,01 Pedal Cycle
41648,0111YR90620,HARINGEY,527970,188500,01 Pedal Cycle
41655,0111YR90624,HARINGEY,531570,189480,01 Pedal Cycle
41681,0111YR90645,HARINGEY,531770,188660,01 Pedal Cycle
41707,0111YR90662,HARINGEY,531620,190660,01 Pedal Cycle
41724,0111YR90671,HARINGEY,534190,189100,01 Pedal Cycle
41731,0111YR90676,HARINGEY,531350,189830,01 Pedal Cycle
41748,0111YR90687,HARINGEY,530920,190570,01 Pedal Cycle
41749,0111YR90688,HARINGEY,528800,189680,01 Pedal Cycle
41757,0111YR90695,HARINGEY,529980,191430,01 Pedal Cycle
41772,0111YR90702,HARINGEY,532230,189710,01 Pedal Cycle
41775,0111YR90706,HARINGEY,532050,189220,01 Pedal Cycle
41788,0111YR90726,HARINGEY,533770,189582,01 Pedal Cycle
41799,0111YR90734,HARINGEY,531180,190900,01 Pedal Cycle
41871,0111YR90782,HARINGEY,531570,189740,01 Pedal Cycle
41893,0111YR90835,HARINGEY,533610,188300,01 Pedal Cycle
41900,0111YR99090,HARINGEY,530210,188580,01 Pedal Cycle
41926,0111TA00091,ENFIELD,534710,193770,01 Pedal Cycle
41938,0111TA00336,ENFIELD,532370,192590,01 Pedal Cycle
41940,0111TA00370,ENFIELD,535170,197150,01 Pedal Cycle
41945,0111TA00435,ENFIELD,533510,197550,01 Pedal Cycle
41951,0111TA00522,ENFIELD,535750,195630,01 Pedal Cycle
41955,0111TA00649,ENFIELD,529730,199120,01 Pedal Cycle
41957,0111TA00691,ENFIELD,529760,194340,01 Pedal Cycle
41959,0111TA00693,ENFIELD,531070,192740,01 Pedal Cycle
41962,0111TA00734,ENFIELD,536350,197080,01 Pedal Cycle
41964,0111TA00740,ENFIELD,534180,194450,01 Pedal Cycle
41968,0111TA00777,ENFIELD,531950,197860,01 Pedal Cycle
41970,0111TA00862,ENFIELD,534260,197480,01 Pedal Cycle
41971,0111TA00869,ENFIELD,535190,197450,01 Pedal Cycle
41973,0111TA00924,ENFIELD,532650,191740,01 Pedal Cycle
41977,0111TA01006,ENFIELD,532870,196760,01 Pedal Cycle
41979,0111TA01007,ENFIELD,534250,193090,01 Pedal Cycle
41981,0111TA01019,ENFIELD,534680,192880,01 Pedal Cycle
41987,0111TA01080,ENFIELD,535150,197070,01 Pedal Cycle
41989,0111TA01132,ENFIELD,534330,197290,01 Pedal Cycle
41992,0111TA01168,ENFIELD,532650,191760,01 Pedal Cycle
41998,0111TA01227,ENFIELD,532063,197486,01 Pedal Cycle
42005,0111TA01260,ENFIELD,535610,195130,01 Pedal Cycle
42013,0111TA01460,ENFIELD,534440,192800,01 Pedal Cycle
42032,0111TA01687,ENFIELD,535500,195690,01 Pedal Cycle
42033,0111TA01712,ENFIELD,531960,192380,01 Pedal Cycle
42232,0111YE80125,ENFIELD,529180,191900,01 Pedal Cycle
42292,0111YE80160,ENFIELD,531490,191960,01 Pedal Cycle
42425,0111YE80259,ENFIELD,532630,192570,01 Pedal Cycle
42433,0111YE80265,ENFIELD,528310,195680,01 Pedal Cycle
42444,0111YE80272,ENFIELD,533850,195790,01 Pedal Cycle
42449,0111YE80276,ENFIELD,532120,197850,01 Pedal Cycle
42461,0111YE80282,ENFIELD,534770,199710,01 Pedal Cycle
42465,0111YE80284,ENFIELD,530990,191910,01 Pedal Cycle
42475,0111YE80290,ENFIELD,534340,193560,01 Pedal Cycle
42483,0111YE80295,ENFIELD,533310,192100,01 Pedal Cycle
42486,0111YE80298,ENFIELD,533490,193770,01 Pedal Cycle
42496,0111YE80304,ENFIELD,534340,193430,01 Pedal Cycle
42507,0111YE80308,ENFIELD,528350,195710,01 Pedal Cycle
42526,0111YE80319,ENFIELD,536370,196260,01 Pedal Cycle
42540,0111YE80328,ENFIELD,530980,192340,01 Pedal Cycle
42555,0111YE80336,ENFIELD,534120,192430,01 Pedal Cycle
42563,0111YE80340,ENFIELD,533940,193050,01 Pedal Cycle
42595,0111YE80360,ENFIELD,532760,198200,01 Pedal Cycle
42634,0111YE80388,ENFIELD,530980,192440,01 Pedal Cycle
42672,0111YE80412,ENFIELD,529580,192250,01 Pedal Cycle
42678,0111YE80417,ENFIELD,535250,196210,01 Pedal Cycle
42689,0111YE80423,ENFIELD,533980,191820,01 Pedal Cycle
42716,0111YE80439,ENFIELD,532990,195410,01 Pedal Cycle
42752,0111YE80461,ENFIELD,531870,194300,01 Pedal Cycle
42780,0111YE80478,ENFIELD,534610,193820,01 Pedal Cycle
42896,0111YE80545,ENFIELD,537380,198340,01 Pedal Cycle
42906,0111YE80551,ENFIELD,528540,195190,01 Pedal Cycle
42935,0111YE80565,ENFIELD,529000,192010,01 Pedal Cycle
43007,0111YE80611,ENFIELD,534040,191980,01 Pedal Cycle
43063,0111YE80650,ENFIELD,531630,197820,01 Pedal Cycle
43095,0111YE80670,ENFIELD,533350,196580,01 Pedal Cycle
43106,0111YE80677,ENFIELD,530970,192460,01 Pedal Cycle
43181,0111YE80730,ENFIELD,534390,197460,01 Pedal Cycle
43214,0111YE80751,ENFIELD,532560,194240,01 Pedal Cycle
43223,0111YE80756,ENFIELD,533350,195620,01 Pedal Cycle
43240,0111YE80764,ENFIELD,532450,192710,01 Pedal Cycle
43274,0111YE80787,ENFIELD,535470,198270,01 Pedal Cycle
43291,0111YE80798,ENFIELD,536980,198730,01 Pedal Cycle
43301,0111YE80804,ENFIELD,534240,193070,01 Pedal Cycle
43315,0111YE80813,ENFIELD,532040,194640,01 Pedal Cycle
43332,0111YE80824,ENFIELD,534650,194180,01 Pedal Cycle
43337,0111YE80827,ENFIELD,533670,194600,01 Pedal Cycle
43339,0111YE80828,ENFIELD,534030,191950,01 Pedal Cycle
9,0114CP00007,CITY OF LONDON,532770,181770,01 Pedal Cycle
10,0114CP00008,CITY OF LONDON,532090,181840,01 Pedal Cycle
16,0114CP00013,CITY OF LONDON,532640,181120,01 Pedal Cycle
17,0114CP00015,CITY OF LONDON,532760,180720,01 Pedal Cycle
18,0114CP00016,CITY OF LONDON,532860,181010,01 Pedal Cycle
20,0114CP00017,CITY OF LONDON,533370,181920,01 Pedal Cycle
22,0114CP00018,CITY OF LONDON,531560,181560,01 Pedal Cycle
26,0114CP00020,CITY OF LONDON,532440,180810,01 Pedal Cycle
33,0114CP00023,CITY OF LONDON,531560,181560,01 Pedal Cycle
34,0114CP00024,CITY OF LONDON,532640,181100,01 Pedal Cycle
38,0114CP00027,CITY OF LONDON,532420,180820,01 Pedal Cycle
41,0114CP00028,CITY OF LONDON,532460,181150,01 Pedal Cycle
51,0114CP00035,CITY OF LONDON,531892,181368,01 Pedal Cycle
55,0114CP00041,CITY OF LONDON,532710,181120,01 Pedal Cycle
58,0114CP00043,CITY OF LONDON,533070,180930,01 Pedal Cycle
67,0114CP00049,CITY OF LONDON,531850,181700,01 Pedal Cycle
68,0114CP00050,CITY OF LONDON,532860,181010,01 Pedal Cycle
70,0114CP00052,CITY OF LONDON,531630,181170,01 Pedal Cycle
76,0114CP00055,CITY OF LONDON,531580,181170,01 Pedal Cycle
78,0114CP00057,CITY OF LONDON,532830,181030,01 Pedal Cycle
82,0114CP00059,CITY OF LONDON,532820,181520,01 Pedal Cycle
85,0114CP00061,CITY OF LONDON,532480,180810,01 Pedal Cycle
88,0114CP00063,CITY OF LONDON,532400,181330,01 Pedal Cycle
90,0114CP00064,CITY OF LONDON,532930,180830,01 Pedal Cycle
94,0114CP00069,CITY OF LONDON,531760,180950,01 Pedal Cycle
97,0114CP00075,CITY OF LONDON,531560,181560,01 Pedal Cycle
103,0114CP00083,CITY OF LONDON,531500,181170,01 Pedal Cycle
108,0114CP00088,CITY OF LONDON,533280,181590,01 Pedal Cycle
113,0114CP00098,CITY OF LONDON,533370,181120,01 Pedal Cycle
117,0114CP00105,CITY OF LONDON,532360,180990,01 Pedal Cycle
121,0114CP00107,CITY OF LONDON,531630,181170,01 Pedal Cycle
124,0114CP00111,CITY OF LONDON,531850,181710,01 Pedal Cycle
128,0114CP00118,CITY OF LONDON,533020,180820,01 Pedal Cycle
133,0114CP00121,CITY OF LONDON,532131,181386,01 Pedal Cycle
140,0114CP00129,CITY OF LONDON,532220,180950,01 Pedal Cycle
152,0114CP00137,CITY OF LONDON,532410,181320,01 Pedal Cycle
154,0114CP00139,CITY OF LONDON,532880,181200,01 Pedal Cycle
155,0114CP00140,CITY OF LONDON,532480,181300,01 Pedal Cycle
161,0114CP00146,CITY OF LONDON,532850,181025,01 Pedal Cycle
166,0114CP00149,CITY OF LONDON,532020,181360,01 Pedal Cycle
168,0114CP00150,CITY OF LONDON,532970,180960,01 Pedal Cycle
170,0114CP00151,CITY OF LONDON,532410,180820,01 Pedal Cycle
172,0114CP00152,CITY OF LONDON,532420,180830,01 Pedal Cycle
176,0114CP00154,CITY OF LONDON,532860,180840,01 Pedal Cycle
189,0114CP00160,CITY OF LONDON,532700,181110,01 Pedal Cycle
193,0114CP00163,CITY OF LONDON,532700,181110,01 Pedal Cycle
197,0114CP00166,CITY OF LONDON,531560,181560,01 Pedal Cycle
205,0114CP00173,CITY OF LONDON,531640,180900,01 Pedal Cycle
207,0114CP00175,CITY OF LONDON,531560,181580,01 Pedal Cycle
213,0114CP00179,CITY OF LONDON,532650,181110,01 Pedal Cycle
216,0114CP00181,CITY OF LONDON,533070,181450,01 Pedal Cycle
217,0114CP00182,CITY OF LONDON,531600,181370,01 Pedal Cycle
220,0114CP00183,CITY OF LONDON,533370,181900,01 Pedal Cycle
221,0114CP00184,CITY OF LONDON,531640,181100,01 Pedal Cycle
224,0114CP00185,CITY OF LONDON,531170,181120,01 Pedal Cycle
226,0114CP00187,CITY OF LONDON,532140,181600,01 Pedal Cycle
227,0114CP00187,CITY OF LONDON,532140,181600,01 Pedal Cycle
229,0114CP00191,CITY OF LONDON,532740,181050,01 Pedal Cycle
232,0114CP00193,CITY OF LONDON,532430,180830,01 Pedal Cycle
236,0114CP00195,CITY OF LONDON,531900,181360,01 Pedal Cycle
238,0114CP00196,CITY OF LONDON,531420,181560,01 Pedal Cycle
242,0114CP00198,CITY OF LONDON,532630,181270,01 Pedal Cycle
244,0114CP00199,CITY OF LONDON,533340,181740,01 Pedal Cycle
246,0114CP00200,CITY OF LONDON,532090,181830,01 Pedal Cycle
257,0114CP00208,CITY OF LONDON,533250,180650,01 Pedal Cycle
258,0114CP00209,CITY OF LONDON,532740,181650,01 Pedal Cycle
260,0114CP00210,CITY OF LONDON,532400,181000,01 Pedal Cycle
261,0114CP00211,CITY OF LONDON,532250,181200,01 Pedal Cycle
266,0114CP00213,CITY OF LONDON,532565,181191,01 Pedal Cycle
269,0114CP00214,CITY OF LONDON,531720,181440,01 Pedal Cycle
271,0114CP00215,CITY OF LONDON,533360,181010,01 Pedal Cycle
272,0114CP00216,CITY OF LONDON,533310,180980,01 Pedal Cycle
276,0114CP00219,CITY OF LONDON,532360,181560,01 Pedal Cycle
280,0114CP00222,CITY OF LONDON,532850,180760,01 Pedal Cycle
289,0114CP00229,CITY OF LONDON,531600,181340,01 Pedal Cycle
297,0114CP00234,CITY OF LONDON,532520,181140,01 Pedal Cycle
301,0114CP00239,CITY OF LONDON,532800,180940,01 Pedal Cycle
302,0114CP00239,CITY OF LONDON,532800,180940,01 Pedal Cycle
306,0114CP00242,CITY OF LONDON,532090,182010,01 Pedal Cycle
307,0114CP00242,CITY OF LONDON,532090,182010,01 Pedal Cycle
309,0114CP00243,CITY OF LONDON,532840,180670,01 Pedal Cycle
312,0114CP00245,CITY OF LONDON,531710,181450,01 Pedal Cycle
315,0114CP00246,CITY OF LONDON,533073,181458,01 Pedal Cycle
316,0114CP00247,CITY OF LONDON,532700,181110,01 Pedal Cycle
321,0114CP00251,CITY OF LONDON,533060,181500,01 Pedal Cycle
322,0114CP00252,CITY OF LONDON,532910,181110,01 Pedal Cycle
326,0114CP00255,CITY OF LONDON,531650,180930,01 Pedal Cycle
329,0114CP00256,CITY OF LONDON,533040,181130,01 Pedal Cycle
335,0114CP00263,CITY OF LONDON,531630,181170,01 Pedal Cycle
336,0114CP00264,CITY OF LONDON,533740,180490,01 Pedal Cycle
337,0114CP00266,CITY OF LONDON,531650,180870,01 Pedal Cycle
338,0114CP00266,CITY OF LONDON,531650,180870,01 Pedal Cycle
339,0114CP00267,CITY OF LONDON,532870,180830,01 Pedal Cycle
343,0114CP00269,CITY OF LONDON,532960,180960,01 Pedal Cycle
345,0114CP00270,CITY OF LONDON,531670,180930,01 Pedal Cycle
347,0114CP00272,CITY OF LONDON,532760,180720,01 Pedal Cycle
348,0114CP00273,CITY OF LONDON,532710,181540,01 Pedal Cycle
350,0114CP00274,CITY OF LONDON,532400,181320,01 Pedal Cycle
351,0114CP00275,CITY OF LONDON,532700,181550,01 Pedal Cycle
355,0114CP00277,CITY OF LONDON,533060,181230,01 Pedal Cycle
359,0114CP00279,CITY OF LONDON,533260,180620,01 Pedal Cycle
364,0114CP00285,CITY OF LONDON,531800,181400,01 Pedal Cycle
370,0114CP00289,CITY OF LONDON,531670,180930,01 Pedal Cycle
373,0114CP00291,CITY OF LONDON,531750,181660,01 Pedal Cycle
374,0114CP00292,CITY OF LONDON,532990,180950,01 Pedal Cycle
376,0114CP00293,CITY OF LONDON,533230,181490,01 Pedal Cycle
383,0114CP00297,CITY OF LONDON,531630,181170,01 Pedal Cycle
386,0114CP00299,CITY OF LONDON,533200,180640,01 Pedal Cycle
387,0114CP00300,CITY OF LONDON,533250,180650,01 Pedal Cycle
390,0114CP00301,CITY OF LONDON,532390,180990,01 Pedal Cycle
391,0114CP00302,CITY OF LONDON,533250,181420,01 Pedal Cycle
395,0114CP00304,CITY OF LONDON,532930,181200,01 Pedal Cycle
396,0114CP00305,CITY OF LONDON,532690,181450,01 Pedal Cycle
401,0114CP00309,CITY OF LONDON,533360,180710,01 Pedal Cycle
420,0114CP00321,CITY OF LONDON,533070,181230,01 Pedal Cycle
424,0114CP00323,CITY OF LONDON,532470,181210,01 Pedal Cycle
425,0114CP00323,CITY OF LONDON,532470,181210,01 Pedal Cycle
429,0114CP00325,CITY OF LONDON,532200,180940,01 Pedal Cycle
432,0114CP00326,CITY OF LONDON,531800,180830,01 Pedal Cycle
434,0114CP00327,CITY OF LONDON,531880,181370,01 Pedal Cycle
436,0114CP00328,CITY OF LONDON,531520,181310,01 Pedal Cycle
438,0114CP00329,CITY OF LONDON,533340,181700,01 Pedal Cycle
445,0114CP00335,CITY OF LONDON,531600,181340,01 Pedal Cycle
448,0114CP00339,CITY OF LONDON,531850,181700,01 Pedal Cycle
458,0114CP00346,CITY OF LONDON,532970,180950,01 Pedal Cycle
460,0114CP00347,CITY OF LONDON,531820,180830,01 Pedal Cycle
462,0114CP00348,CITY OF LONDON,532880,181510,01 Pedal Cycle
469,0114CP00352,CITY OF LONDON,533380,181910,01 Pedal Cycle
471,0114CP00354,CITY OF LONDON,532440,180960,01 Pedal Cycle
472,0114CP00354,CITY OF LONDON,532440,180960,01 Pedal Cycle
479,0114CP00359,CITY OF LONDON,532150,181230,01 Pedal Cycle
483,0114CP00363,CITY OF LONDON,532860,180770,01 Pedal Cycle
485,0114CP00364,CITY OF LONDON,532650,181110,01 Pedal Cycle
492,0114CP00368,CITY OF LONDON,531270,181300,01 Pedal Cycle
500,0114CP00372,CITY OF LONDON,531720,181440,01 Pedal Cycle
504,0114CP00376,CITY OF LONDON,532680,181430,01 Pedal Cycle
505,0114CP00377,CITY OF LONDON,532140,181600,01 Pedal Cycle
509,0114CP00379,CITY OF LONDON,532780,181530,01 Pedal Cycle
511,0114CP00380,CITY OF LONDON,532870,180840,01 Pedal Cycle
514,0114CP00382,CITY OF LONDON,532830,180880,01 Pedal Cycle
524,0114CP00386,CITY OF LONDON,532760,180720,01 Pedal Cycle
532,0114CP00391,CITY OF LONDON,533220,180920,01 Pedal Cycle
533,0114CP00392,CITY OF LONDON,531630,181220,01 Pedal Cycle
536,0114CP00393,CITY OF LONDON,531720,181440,01 Pedal Cycle
539,0114CP00394,CITY OF LONDON,532760,180720,01 Pedal Cycle
542,0114CP00396,CITY OF LONDON,533140,180640,01 Pedal Cycle
547,0114CP00400,CITY OF LONDON,532860,180780,01 Pedal Cycle
560,0114CP00407,CITY OF LONDON,533240,181510,01 Pedal Cycle
561,0114EK40182,CITY OF LONDON,531220,181580,01 Pedal Cycle
564,0114EK40697,CITY OF LONDON,530970,181610,01 Pedal Cycle
566,0114EO40222,CITY OF LONDON,531770,181780,01 Pedal Cycle
570,0114EO40265,CITY OF LONDON,532240,182210,01 Pedal Cycle
575,0114HT20559,CITY OF LONDON,533790,181110,01 Pedal Cycle
577,0114HT20725,CITY OF LONDON,533830,180860,01 Pedal Cycle
579,0114HT20802,CITY OF LONDON,533830,180890,01 Pedal Cycle
586,0114BS70045,WESTMINSTER,526130,179650,01 Pedal Cycle
596,0114BS70313,WESTMINSTER,526710,179650,01 Pedal Cycle
598,0114BS70328,WESTMINSTER,526130,179650,01 Pedal Cycle
601,0114BS70347,WESTMINSTER,528120,179770,01 Pedal Cycle
604,0114BS70424,WESTMINSTER,527760,179700,01 Pedal Cycle
606,0114BS70452,WESTMINSTER,527820,179710,01 Pedal Cycle
610,0114BS70561,WESTMINSTER,526130,179650,01 Pedal Cycle
616,0114BS70615,WESTMINSTER,523870,182480,01 Pedal Cycle
617,0114BS70633,WESTMINSTER,527740,179660,01 Pedal Cycle
620,0114BS70686,WESTMINSTER,525900,180590,01 Pedal Cycle
629,0114CW10001,WESTMINSTER,528830,181180,01 Pedal Cycle
630,0114CW10002,WESTMINSTER,528280,182190,01 Pedal Cycle
638,0114CW10008,WESTMINSTER,530000,180640,01 Pedal Cycle
654,0114CW10019,WESTMINSTER,530060,179660,01 Pedal Cycle
656,0114CW10021,WESTMINSTER,528970,181770,01 Pedal Cycle
663,0114CW10026,WESTMINSTER,530190,179360,01 Pedal Cycle
668,0114CW10028,WESTMINSTER,524960,181710,01 Pedal Cycle
681,0114CW10038,WESTMINSTER,526790,179710,01 Pedal Cycle
685,0114CW10042,WESTMINSTER,529510,179260,01 Pedal Cycle
687,0114CW10043,WESTMINSTER,528860,181880,01 Pedal Cycle
689,0114CW10044,WESTMINSTER,528980,180270,01 Pedal Cycle
693,0114CW10047,WESTMINSTER,529580,181340,01 Pedal Cycle
695,0114CW10048,WESTMINSTER,527730,181680,01 Pedal Cycle
709,0114CW10059,WESTMINSTER,528670,178700,01 Pedal Cycle
717,0114CW10064,WESTMINSTER,529460,179950,01 Pedal Cycle
719,0114CW10065,WESTMINSTER,525330,181570,01 Pedal Cycle
720,0114CW10066,WESTMINSTER,527360,182010,01 Pedal Cycle
726,0114CW10070,WESTMINSTER,527080,181690,01 Pedal Cycle
730,0114CW10073,WESTMINSTER,530230,178980,01 Pedal Cycle
743,0114CW10088,WESTMINSTER,529910,181030,01 Pedal Cycle
750,0114CW10093,WESTMINSTER,530230,178710,01 Pedal Cycle
752,0114CW10095,WESTMINSTER,528660,179420,01 Pedal Cycle
763,0114CW10103,WESTMINSTER,530970,180780,01 Pedal Cycle
766,0114CW10106,WESTMINSTER,529970,178980,01 Pedal Cycle
771,0114CW10109,WESTMINSTER,528040,180620,01 Pedal Cycle
779,0114CW10115,WESTMINSTER,529490,179980,01 Pedal Cycle
782,0114CW10116,WESTMINSTER,529500,179970,01 Pedal Cycle
783,0114CW10117,WESTMINSTER,529340,181200,01 Pedal Cycle
787,0114CW10120,WESTMINSTER,525350,181990,01 Pedal Cycle
795,0114CW10125,WESTMINSTER,527880,180850,01 Pedal Cycle
796,0114CW10125,WESTMINSTER,527880,180850,01 Pedal Cycle
803,0114CW10130,WESTMINSTER,527970,179380,01 Pedal Cycle
806,0114CW10134,WESTMINSTER,525020,182370,01 Pedal Cycle
812,0114CW10138,WESTMINSTER,525340,181990,01 Pedal Cycle
815,0114CW10141,WESTMINSTER,530380,180670,01 Pedal Cycle
819,0114CW10144,WESTMINSTER,528860,182020,01 Pedal Cycle
821,0114CW10145,WESTMINSTER,530240,178720,01 Pedal Cycle
826,0114CW10148,WESTMINSTER,527860,180990,01 Pedal Cycle
829,0114CW10151,WESTMINSTER,527890,181090,01 Pedal Cycle
848,0114CW10165,WESTMINSTER,530270,178970,01 Pedal Cycle
850,0114CW10167,WESTMINSTER,529940,178270,01 Pedal Cycle
854,0114CW10169,WESTMINSTER,529810,180190,01 Pedal Cycle
862,0114CW10177,WESTMINSTER,528160,180480,01 Pedal Cycle
864,0114CW10179,WESTMINSTER,528990,178150,01 Pedal Cycle
870,0114CW10184,WESTMINSTER,528980,181360,01 Pedal Cycle
872,0114CW10185,WESTMINSTER,526330,181790,01 Pedal Cycle
877,0114CW10188,WESTMINSTER,528410,179370,01 Pedal Cycle
889,0114CW10198,WESTMINSTER,527540,183290,01 Pedal Cycle
895,0114CW10203,WESTMINSTER,528680,181150,01 Pedal Cycle
898,0114CW10205,WESTMINSTER,527770,180970,01 Pedal Cycle
900,0114CW10207,WESTMINSTER,528270,182070,01 Pedal Cycle
904,0114CW10209,WESTMINSTER,530160,179680,01 Pedal Cycle
906,0114CW10210,WESTMINSTER,526180,180630,01 Pedal Cycle
907,0114CW10211,WESTMINSTER,529748,180907,01 Pedal Cycle
918,0114CW10220,WESTMINSTER,528150,182410,01 Pedal Cycle
921,0114CW10223,WESTMINSTER,528080,181480,01 Pedal Cycle
926,0114CW10227,WESTMINSTER,528970,181220,01 Pedal Cycle
931,0114CW10232,WESTMINSTER,527360,181730,01 Pedal Cycle
939,0114CW10238,WESTMINSTER,528160,181040,01 Pedal Cycle
954,0114CW10251,WESTMINSTER,525410,182380,01 Pedal Cycle
955,0114CW10252,WESTMINSTER,529040,180440,01 Pedal Cycle
957,0114CW10253,WESTMINSTER,527010,180210,01 Pedal Cycle
959,0114CW10254,WESTMINSTER,530680,180700,01 Pedal Cycle
978,0114CW10269,WESTMINSTER,526770,181710,01 Pedal Cycle
981,0114CW10271,WESTMINSTER,526141,180629,01 Pedal Cycle
987,0114CW10275,WESTMINSTER,529410,180560,01 Pedal Cycle
992,0114CW10277,WESTMINSTER,530250,178980,01 Pedal Cycle
997,0114CW10280,WESTMINSTER,528870,181860,01 Pedal Cycle
1002,0114CW10284,WESTMINSTER,526740,182550,01 Pedal Cycle
1005,0114CW10285,WESTMINSTER,530140,179580,01 Pedal Cycle
1007,0114CW10286,WESTMINSTER,530700,181030,01 Pedal Cycle
1009,0114CW10287,WESTMINSTER,525790,182110,01 Pedal Cycle
1014,0114CW10290,WESTMINSTER,528310,179260,01 Pedal Cycle
1017,0114CW10295,WESTMINSTER,530180,179410,01 Pedal Cycle
1023,0114CW10301,WESTMINSTER,528840,180890,01 Pedal Cycle
1024,0114CW10301,WESTMINSTER,528840,180890,01 Pedal Cycle
1030,0114CW10304,WESTMINSTER,528760,178870,01 Pedal Cycle
1031,0114CW10306,WESTMINSTER,530250,178970,01 Pedal Cycle
1034,0114CW10311,WESTMINSTER,529890,178970,01 Pedal Cycle
1038,0114CW10313,WESTMINSTER,526190,182580,01 Pedal Cycle
1058,0114CW10329,WESTMINSTER,525750,181460,01 Pedal Cycle
1062,0114CW10331,WESTMINSTER,530190,179270,01 Pedal Cycle
1079,0114CW10345,WESTMINSTER,530260,178980,01 Pedal Cycle
1081,0114CW10346,WESTMINSTER,528450,179120,01 Pedal Cycle
1084,0114CW10349,WESTMINSTER,527530,181850,01 Pedal Cycle
1087,0114CW10351,WESTMINSTER,527930,180700,01 Pedal Cycle
1090,0114CW10352,WESTMINSTER,525890,180590,01 Pedal Cycle
1091,0114CW10353,WESTMINSTER,531030,181070,01 Pedal Cycle
1094,0114CW10354,WESTMINSTER,527440,182040,01 Pedal Cycle
1099,0114CW10356,WESTMINSTER,530140,179670,01 Pedal Cycle
1104,0114CW10360,WESTMINSTER,526770,182560,01 Pedal Cycle
1115,0114CW10368,WESTMINSTER,528840,181190,01 Pedal Cycle
1117,0114CW10369,WESTMINSTER,526950,182380,01 Pedal Cycle
1124,0114CW10376,WESTMINSTER,528490,179780,01 Pedal Cycle
1131,0114CW10383,WESTMINSTER,527240,180870,01 Pedal Cycle
1132,0114CW10383,WESTMINSTER,527240,180870,01 Pedal Cycle
1134,0114CW10385,WESTMINSTER,529370,178100,01 Pedal Cycle
1136,0114CW10386,WESTMINSTER,529460,179950,01 Pedal Cycle
1171,0114CW10410,WESTMINSTER,528520,181410,01 Pedal Cycle
1174,0114CW10412,WESTMINSTER,529920,179690,01 Pedal Cycle
1185,0114CW10419,WESTMINSTER,528040,182500,01 Pedal Cycle
1187,0114CW10420,WESTMINSTER,526140,182500,01 Pedal Cycle
1194,0114CW10427,WESTMINSTER,525930,181480,01 Pedal Cycle
1198,0114CW10429,WESTMINSTER,528330,182630,01 Pedal Cycle
1201,0114CW10431,WESTMINSTER,528830,182180,01 Pedal Cycle
