,Accident Ref.,Borough,Easting,Northing,Vehicle Type
314,0111CP00217,CITY OF LONDON,533050,181220,01 Pedal Cycle
321,0111CP00221,CITY OF LONDON,531400,181570,01 Pedal Cycle
326,0111CP00224,CITY OF LONDON,533130,181330,01 Pedal Cycle
328,0111CP00225,CITY OF LONDON,533360,181800,01 Pedal Cycle
330,0111CP00226,CITY OF LONDON,532840,181520,01 Pedal Cycle
332,0111CP00227,CITY OF LONDON,531670,180930,01 Pedal Cycle
337,0111CP00230,CITY OF LONDON,531358,181437,01 Pedal Cycle
342,0111CP00232,CITY OF LONDON,532680,181450,01 Pedal Cycle
349,0111CP00238,CITY OF LONDON,531530,180820,01 Pedal Cycle
350,0111CP00239,CITY OF LONDON,533200,181130,01 Pedal Cycle
352,0111CP00240,CITY OF LONDON,532980,180970,01 Pedal Cycle
355,0111CP00241,CITY OF LONDON,531620,181170,01 Pedal Cycle
359,0111CP00243,CITY OF LONDON,533020,180820,01 Pedal Cycle
360,0111CP00243,CITY OF LONDON,533020,180820,01 Pedal Cycle
363,0111CP00245,CITY OF LONDON,532170,181570,01 Pedal Cycle
373,0111CP00249,CITY OF LONDON,531645,180814,01 Pedal Cycle
375,0111CP00250,CITY OF LONDON,533250,180640,01 Pedal Cycle
376,0111CP00251,CITY OF LONDON,533080,181510,01 Pedal Cycle
380,0111CP00255,CITY OF LONDON,532700,181540,01 Pedal Cycle
384,0111CP00257,CITY OF LONDON,533210,180940,01 Pedal Cycle
391,0111CP00262,CITY OF LONDON,531660,181470,01 Pedal Cycle
392,0111CP00263,CITY OF LONDON,533190,181420,01 Pedal Cycle
395,0111CP00264,CITY OF LONDON,532850,180840,01 Pedal Cycle
402,0111CP00270,CITY OF LONDON,533300,181630,01 Pedal Cycle
403,0111CP00271,CITY OF LONDON,532670,180890,01 Pedal Cycle
406,0111CP00273,CITY OF LONDON,533320,181650,01 Pedal Cycle
410,0111CP00276,CITY OF LONDON,532770,181750,01 Pedal Cycle
412,0111CP00277,CITY OF LONDON,532120,181060,01 Pedal Cycle
427,0111CP00289,CITY OF LONDON,531380,181170,01 Pedal Cycle
431,0111CP00291,CITY OF LONDON,532760,180720,01 Pedal Cycle
436,0111CP00293,CITY OF LONDON,532530,181290,01 Pedal Cycle
438,0111CP00295,CITY OF LONDON,531960,181340,01 Pedal Cycle
440,0111CP00296,CITY OF LONDON,532120,181380,01 Pedal Cycle
442,0111CP00298,CITY OF LONDON,533080,181450,01 Pedal Cycle
446,0111CP00300,CITY OF LONDON,532580,181070,01 Pedal Cycle
450,0111CP00304,CITY OF LONDON,532410,180830,01 Pedal Cycle
453,0111CP00306,CITY OF LONDON,531390,181550,01 Pedal Cycle
459,0111CP00310,CITY OF LONDON,532570,180920,01 Pedal Cycle
463,0111CP00312,CITY OF LONDON,532400,180830,01 Pedal Cycle
465,0111CP00313,CITY OF LONDON,531630,181170,01 Pedal Cycle
466,0111CP00314,CITY OF LONDON,532980,181300,01 Pedal Cycle
467,0111CP00315,CITY OF LONDON,532770,180990,01 Pedal Cycle
479,0111CP00322,CITY OF LONDON,532140,180930,01 Pedal Cycle
480,0111CP00322,CITY OF LONDON,532140,180930,01 Pedal Cycle
481,0111CP00323,CITY OF LONDON,531730,181440,01 Pedal Cycle
483,0111CP00324,CITY OF LONDON,531410,181570,01 Pedal Cycle
491,0111CP00329,CITY OF LONDON,532480,180800,01 Pedal Cycle
497,0111CP00334,CITY OF LONDON,531900,181360,01 Pedal Cycle
499,0111CP00335,CITY OF LONDON,532580,181280,01 Pedal Cycle
502,0111CP00337,CITY OF LONDON,532790,180710,01 Pedal Cycle
504,0111CP00338,CITY OF LONDON,533250,180650,01 Pedal Cycle
506,0111CP00339,CITY OF LONDON,531830,180950,01 Pedal Cycle
512,0111CP00342,CITY OF LONDON,532700,181110,01 Pedal Cycle
513,0111CP00343,CITY OF LONDON,531300,181570,01 Pedal Cycle
524,0111CP00352,CITY OF LONDON,533020,181360,01 Pedal Cycle
529,0111CP00357,CITY OF LONDON,531420,181330,01 Pedal Cycle
532,0111CP00359,CITY OF LONDON,531650,180940,01 Pedal Cycle
535,0111CP00361,CITY OF LONDON,531780,181420,01 Pedal Cycle
541,0111CP00365,CITY OF LONDON,532100,181860,01 Pedal Cycle
543,0111CP00366,CITY OF LONDON,531930,181100,01 Pedal Cycle
544,0111CP00367,CITY OF LONDON,531460,181440,01 Pedal Cycle
551,0111CP00374,CITY OF LONDON,531630,181170,01 Pedal Cycle
555,0111CP00376,CITY OF LONDON,531630,180790,01 Pedal Cycle
556,0111CP00377,CITY OF LONDON,533130,180920,01 Pedal Cycle
564,0111CP00381,CITY OF LONDON,533220,181140,01 Pedal Cycle
578,0111HT20291,CITY OF LONDON,533860,180780,01 Pedal Cycle
580,0111HT20405,CITY OF LONDON,533820,180770,01 Pedal Cycle
590,0111TA00683,CITY OF LONDON,531800,181800,01 Pedal Cycle
591,0111TB00323,CITY OF LONDON,532450,181950,01 Pedal Cycle
601,0111BS70431,WESTMINSTER,525110,181060,01 Pedal Cycle
